Identificador,Nome,Linhas de Pesquisa,Membros de Corpo Editorial,Revisores de Periódico,Revisores de Projeto de Fomento,Áreas de Atuação
4990248153048940,Valdirene Elizabeth Coelho Silva,,0,0,0,"Língua Portuguesa, Línguas Estrangeiras Modernas"
5002253504333706,Rogério Helvídio Lopes Rosa,Programa de Iniciaçao Científica Júnior (BIC-Jr),0,0,0,", , , "
5023862169724564,Walisson Rosalvo Salvador Guimarães,"Projeto e Análise de Sistemas de Transmissão de Potência, Tecnologia Eletropneumática, Método de Elementos Finitos aplicados a Mecânica dos Sólidos e Estrutural, Projetos e Técnicas experimentais em Resistência dos Materiais, Robótica",0,0,0,"Fenômenos de Transporte, Mecânica dos Sólidos, , Mecânica dos Sólidos, Matemática Aplicada, Estruturas"
5029776629891861,José Antônio Pinto,"1. Física no Ensino Fundamental,, 2. Física no Ensino Médio., 3. Processos de Ensino e Aprendizagem e Tecnologias de Informação e Comunicação no Ensino de Física.",0,0,0,"Ensino de Ciências, Ensino de Física, "
5033301374875823,Adriana do Carmo Figueiredo,,0,0,0,
5061546427251909,Renato Caixeta da Silva,"Linguagem, Ensino, Aprendizagem e Tecnologia, Discurso, Mídia e Tecnologia",0,0,0,"Línguas Estrangeiras Modernas, Lingüística Aplicada, Análise do discurso, Línguas Estrangeiras Modernas"
5072396225711299,Marina Barroso de Araujo Abreu,Nupevem,0,0,0,"Desing de Moda, Design de Moda, Educação, Historia da Arte e da Moda, Educação Artística, Artes"
5075719287914427,Telson Emmanuel Ferreira Crespo,,0,0,0,"Ecologia Aplicada, Recursos Hídricos, Ecologia Teórica"
5092556253652672,Marcello Rosa Dumont,"Capsulas poliméricas para recobrimento de fármacos, Recobrimentos anticorrosivos, Comportamento de metais e ligas à ambientes corrosivos, Reciclagem de Materiais e de Resíduos Eletrônicos, Propriedades Mecânicas em Materiais Metálicos, Incorporação de Nanopartículas de Dióxido de Titânio em Argamassas Cimentícias Fotocatalíticas",0,0,0,", Metalurgia Física, Recobrimentos, Metais, Cerâmicos"
5103131293183604,Oneize Monteiro da Silva,,0,0,0,
5104764113732271,Wendell Fioravante da Silva Diniz,,0,0,0,"Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Sistemas de Computação"
5112548074476370,Maria Luisa Perdigão Diz Ramos,,0,0,0,"Tópicos Específicos de Educação, Automação"
5118465431044192,Luciano César Alves de Deus,,0,0,0,", , Teoria e Análise Lingüística, Línguas Estrangeiras Modernas, Língua Portuguesa"
5134645138130437,Jeannette de Magalhães Moreira Lopes,Síntese de fármacos,0,0,0,"Química Orgânica, , Química Ambiental"
5147531957327599,Fernando Thomé de Azevedo Silva,,0,0,0,"Sistemas de Controle, Sistemas de Supervisão, Sinais e Sistemas, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos"
5150393661538081,Rosana Aparecida Ferreira Nunes,,0,0,0,", Estruturas, Construção Civil, Projeto de Arquitetura e Urbanismo, Infra-Estrutura de Transportes"
5174842920583671,Rodrigo Tomás Nogueira Cardoso,"Otimização Não Linear, Otimização Multiobjetivo, Biomatemática, Finanças Computacionais",0,0,0,"Matemática Aplicada, Pesquisa Operacional, Bioengenharia, Administração de Empresas, Pesquisa Operacional"
5177678375239118,Patrícia Silva Herculano,,0,0,0,
5181003393927021,Wagner Custódio de Oliveira,"Soldagem, Usinagem, Materiais, Educação e tecnologias",0,0,0,"Processos de Fabricação, , "
5184947894513659,Raphael Miranda de Souza,,0,0,0,
